J| if parent matches ID, it's a task, not a stage.  (6) REQ'D STAGES: break up with commas Requires the player to have one of these as their active stage. Rarity: 0-poor,1-common,2-fine,3-shroom,4-cwk,5-void. if removeRarity is left blank it does not require rarity. (13) Needs item will only check the first req'd item. (14) removeItem(s) will create a list. They will ALL use the same itemRarity, if applicable. NEW:l IF REMOVING KEY ITEM WHICH IS STACKABLE, TASK WILL NOW REMOVE WHOLE STACK. IF WE EVER NEED TO REMOVE 1 SINGLE STACKABLE KEY ITEM WE NEED TO ADD A NEW FIELD OF ITEM AMOUNT.|||||||||||||||||||||||
0: ID|1: parent|2: spriteID|3:startsTask|4:completes|5:ignoreHchy|6:req'dStages|7:trueFacts|8: falseFacts|9:keyItemNeeded|10: itemID|11: itemRarity|12: coin|13: glimmer|14:needsItem|15:removeItem(s)|16:remveRarity|17:FactionEnums|18:FactionInts|19:sortNum|20: English|21: French|22: German|23: Spanish|24: Italian
35|shipwreck||Yes||||RasmussenSphereTaken,HC_ReadyForFinalMission,Ignavius_FinalMission||rasSphere|rasSphere||||||||||To face Vela in the Cradle, you'll need to upgrade the cutter. On a desert island you found an Emberian [[Rasmussen Sphere,]] which should allow the cutter to bypass the Cradle's protective force-field. ##You should return to the High Confessor with what you've found.||||
40|shipwreck|||Yes||||HC_ReadyForFinalMission|||||2||rasSphere|||||To face Vela in the Cradle, you'll need to upgrade the cutter. On a desert island you found an Emberian [[Rasmussen Sphere,]] which should allow the cutter to bypass the Cradle's protective force-field. ||||
airshipGet|airshipGet|EmblemGuile|||||||||||||||||2|To The Skies||||
10|airshipGet||Yes||||||writAirship|writAirship||||||||||To continue your pursuit of Vela Callose, you are going to need an [[airship.]] ##The High Confessor has given you a Writ of Permission that will enable you to purchase one. You should visit one of the [[Winged Merchant Guild towers]] in either Pwyll Village, Hallow Town, Sepulchre or Ferropolis.||||
20|airshipGet||Yes||||||writAirship|||||||||||To continue your pursuit of Vela Callose, you are going to need an [[airship.]] ##You need to amass [[200 coin]] before purchasing one from a [[Winged Merchant Guild tower]] in either Pwyll Village, Hallow Town, Sepulchre or Ferropolis. ||||
30|airshipGet||Yes|Yes|||||deedAirship|deedAirship,spellAirship|||||writAirship|||||You've purchased an airship, and are now a veritable sky captain. ||||
godWarIsle|godWarIsle|QuestCup|||||||||||||||||19|War Stories||||
10|godWarIsle||Yes|||||||||||||||||Drangorg, an old God War veteran in Hallow Town,  told you about [[Aristide's Rock]] - where a legendary battle was fought. However, you won't be able to visit it unless you have access to an airship.||||
20|godWarIsle|||||||||||||||||||You found a silver pendant in the huge machine at Aristide's Rock, which seems to belong to the officer who Drangorg told you about.##Return it to Drangorg in his house in [[Hallow Town.]]||||
30|godWarIsle|||Yes||||||ore|5||2||godWarPendant|||||You found a silver pendant, which seemed to belong to the officer who Drangorg told you about.## You returned this to Drangorg and claimed your reward. ||||
creaturePickaxe|creaturePickaxe|FactionCult|||||||||||||||||20|Belly of the Beast||||
10|creaturePickaxe||Yes|||||||||||||||||Inside a colossal creature you found a note that makes reference to a magic pickaxe. ##Perhaps this could be of use - you should delve further into the mollusc's innards and find out more. ||||
20|creaturePickaxe||Yes|||||||||||||||||Inside a colossal creature you found a note that speaks of the Temporal Pickaxe. Apparently, this pickaxe can defy time itself to recover ore from long-depleted veins. ##It is stored deep in the Intestinal Mines of the giant creature. ||||
30|creaturePickaxe||Yes|Yes|||||||||2|||||||Inside a colossal creature you found the Temporal Pickaxe. Now, you can return to previously depleted ore veins and find more ore. ||||
crystalSkulls|crystalSkulls|QuestCup|||||||||||||||||21|Raiders of the Drifting Island||||
10|crystalSkulls||Yes||||SpokenToSecretAdventurer1|||||||||||||On a small island to the north-west, an adventurer tasked you with opening an ancient door. ##You must pull the lever on the island, then search the Oneiric Isles for ten secret switches before the time runs out. ||||
20|crystalSkulls|||||||||||||||||||On a small island to the north-west, an adventurer tasked you with opening an ancient door. ##You must pull the lever on the island, then search the Oneiric Isles for ten secret switches before the time runs out. It seems the switches are a type of crystal skull.  ||||
30|crystalSkulls|||||||||||||||||||On a small island to the north-west, an adventurer tasked you with opening an ancient door. ##You activated all the crystal skulls before the time ran out, and should now return to the island to open the door...||||
40|crystalSkulls|||Yes|||SpokenToSecretAdventurer2|||superCabin|||2|||||||On a small island to the north-west, an adventurer tasked you with opening an ancient door. ##There was no treasure, so the whole endeavour was pointless. However, the adventurer gave you his prized ship cabin in recompense. ||||
